Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,
,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
20-03-2020,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,DKUp,DKDown,Up,Down
00 - 01,9,"4,5",9,"4,5",9,"4,5",9,"4,5",9,"4,5",9,"4,5",9,"4,5",9,"4,5","19,9","4,5",9,"4,5","19,9","4,5","19,9","4,5"
01 - 02,"6,97","4,5","6,97","4,5","7,3","4,5","7,3","4,5","6,97","4,5","7,3","4,5","7,3","4,5","7,3","4,5","17,62","4,5","7,3","4,5","17,62","4,5","17,62","4,5"
02 - 03,"6,98","4,5","6,98","4,5","7,44","4,5","7,44","4,5","6,98","4,5","7,44","4,5","7,44","4,5","7,44","4,5","7,44","4,5","7,44","4,5","11,46","4,5","11,46","4,5"
03 - 04,"7,04","4,86","7,04","4,86","7,65","4,86","7,65","4,86","7,04","4,86","7,65","4,86","7,65","4,86","7,65","4,86","18,6","4,86","42,7","7,73","18,6","4,86","18,6","4,86"
04 - 05,"7,15","4,3","7,15","4,3","7,79","4,3","7,79","4,3","7,15","4,3","7,79","4,3","7,79","4,3","7,79","4,3",19,"4,3",43,"13,99",19,"4,3",19,"4,3"
05 - 06,"7,46",4,"7,46",4,"7,91",4,"7,91",4,"7,46",4,"7,91",4,"7,91",4,"7,91",4,"25,25",4,50,"37,57","25,25",4,"25,25",4
06 - 07,"8,04",4,"8,04",4,"8,61",4,"8,61",4,"8,04",4,"8,61",4,"8,61",4,"8,61",4,"31,14",4,"40,36",4,"27,4",4,"31,14",4
07 - 08,"8,22","4,3","8,22","4,3","10,99","4,3","10,99","4,3","8,22","4,3","10,99","4,3","10,99","4,3","33,79","4,3",35,"4,3","41,64","4,3","33,79","4,3",35,"4,3"
08 - 09,"8,43","5,32","8,43","5,32","12,52","5,32","12,52","5,32","8,43","5,32","12,52","5,32","12,52","5,32","33,88","5,32","33,88","5,32","44,43","5,32","33,88","5,32","33,88","5,32"
09 - 10,"8,27",8,"8,27",8,"12,41",8,"12,41",8,"8,27",8,"12,41",8,"12,41",8,"28,08",8,"28,08",8,"42,97",8,"28,08",8,"28,08",8
10 - 11,"8,09",8,"8,09",8,"10,68",8,"10,68",8,"8,09",8,"10,68",8,"10,68",8,"25,99",8,"25,99",8,"38,66",8,"25,99",8,"25,99",8
11 - 12,"7,81","7,81","7,81","7,81","8,9","8,9","8,9","8,9","7,81","7,81","8,9","8,9","8,9","8,9","25,36","25,36","25,36","25,36","37,6","37,6","25,36","25,36","25,36","25,36"
12 - 13,"7,55","7,55","7,55","7,55","8,43","8,43","8,43","8,43","7,55","7,55","8,43","8,43","8,43","8,43","17,62","17,62","73,59","22,3","38,68","38,68","17,62","17,62","73,59","22,3"
13 - 14,"7,42","5,32","7,42","5,32","8,17","5,32","8,17","5,32","7,42","5,32","8,17","5,32","8,17","5,32","8,17","5,32","72,05","5,32","37,52","5,32","8,17","5,32","72,05","5,32"
14 - 15,"7,38","4,05","7,38","4,05","7,87","4,05","7,87","4,05","7,38","4,05","7,87","4,05","7,87","4,05","7,87","4,05","10,09","4,05","32,8","4,05","7,87","4,05","10,09","4,05"
