Day-ahead prices in EUR/MWh,
24-03-2020,DK1
00 - 01,"6,16"
01 - 02,"5,94"
02 - 03,"5,79"
03 - 04,"5,86"
04 - 05,"6,15"
05 - 06,"6,64"
06 - 07,"7,32"
07 - 08,"7,95"
08 - 09,"7,95"
09 - 10,"7,6"
10 - 11,"7,31"
11 - 12,"7,08"
12 - 13,"6,95"
13 - 14,"6,84"
14 - 15,"6,84"
15 - 16,"6,87"
16 - 17,7
17 - 18,"18,57"
18 - 19,"28,53"
19 - 20,"25,02"
20 - 21,"7,39"
21 - 22,7
22 - 23,"6,54"
23 - 00,"5,97"
,
Min,"5,79"
Max,"28,53"
Average,"8,97"
Peak,"11,38"
Off-peak1,"6,48"
Off-peak2,"6,73"
