Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 01-01-2020,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
01-01-2018,00 - 01,"31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","26,33","31,1","21,8","31,1","26,33"
01-01-2018,01 - 02,"30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43","30,47","26,43"
01-01-2018,02 - 03,30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1",30,"26,1","27,4","26,1",30,"26,1"
01-01-2018,03 - 04,30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7",30,"24,7"
01-01-2018,04 - 05,"28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74","28,42","24,74"
01-01-2018,05 - 06,"29,3","24,76","29,3","24,76","29,3","24,67","29,3","24,67","29,3","24,76","29,3","18,01","29,3","18,01","29,3","18,01","29,3","18,01","29,3","18,01","29,3","18,01","29,3","18,01"
01-01-2018,06 - 07,"29,94","24,98","29,94","24,98","29,94","24,98","29,94","24,98","29,94","24,98","29,94","17,78","29,94","17,78","29,94","17,78","29,94","17,78","29,94","17,78","29,94","10,18","29,94","10,18"
01-01-2018,07 - 08,"29,94","25,71","29,94","25,71","29,94","25,61","29,94","25,61","29,94","25,71","29,94","17,8","29,94","17,8","29,94","17,8","29,94","17,8","29,94","17,8","29,94","17,8","29,94","17,8"
01-01-2018,08 - 09,"28,42","25,48","28,42","25,48","28,42","25,48","28,42","25,48","28,42","25,48","28,42","19,76","28,42","19,76","28,42","19,76","28,42","19,76","28,42","19,76","26,39","19,76","26,39","19,76"
01-01-2018,09 - 10,"25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","25,54","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73","20,73"
01-01-2018,10 - 11,"26,07","26,07","26,07","26,07","26,07","26,07","26,07","26,07","26,07","26,07","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76","24,76"
01-01-2018,11 - 12,"26,12","26,12","26,12","26,12","26,12","26,12","26,12","26,12","26,12","26,12","25,68","25,68","25,68","25,68","25,68","25,68","25,68","25,68","25,68","25,68","25,68","-13,29","25,68","25,68"
01-01-2018,12 - 13,"26,16","26,16","26,16","26,16","26,16","26,16","26,16","26,16","26,16","26,16","24,09","24,09","24,09","24,09","24,09","24,09","24,09","24,09","24,09","24,09","16,56","-13,16","19,99","19,99"
01-01-2018,13 - 14,"29,43","26,19","29,43","26,19","26,19","26,19","26,19","26,19","29,43","26,19","25,01","25,01","25,01","25,01","25,01","25,01","25,01","25,01","25,01","25,01","13,21","13,21","25,01","25,01"
